product,rating,review
Laptop,5,"Battery life is excellent and perfect for students."
Laptop,4,"Performance is smooth and lightweight for daily use."
Laptop,2,"Heating issue after long gaming sessions."
Laptop,1,"Battery drains quickly and charging is slow."
Phone,5,"Camera quality is amazing and display is sharp."
Phone,3,"Good phone but battery backup could be better."
Phone,2,"Phone hangs sometimes while multitasking."
Headphones,5,"Sound quality is immersive and noise cancellation works well."
Headphones,2,"Build quality feels cheap."
Headphones,4,"Comfortable to wear for long hours."
